"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030312","GO:0030312","external encapsulating structure","12/35","408/11898",0.0294117647058824,9.99831932773109,10.0458561738531,9.19421939545066e-10,6.94163564356525e-08,5.12940661009353e-08,"COL3A1/COL5A2/LUM/PF4/POSTN/PRG2/S100A4/SERPINA5/TIMP1/VCAN/VEGFA/VTN",12
"GO:0031012","GO:0031012","extracellular matrix","12/35","408/11898",0.0294117647058824,9.99831932773109,10.0458561738531,9.19421939545066e-10,6.94163564356525e-08,5.12940661009353e-08,"COL3A1/COL5A2/LUM/PF4/POSTN/PRG2/S100A4/SERPINA5/TIMP1/VCAN/VEGFA/VTN",12
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","10/35","265/11898",0.0377358490566038,12.8280323450135,10.5765752625624,2.85081429347018e-09,1.43490986104666e-07,1.06030286002751e-07,"APP/COL3A1/COL5A2/FSTL1/LRPAP1/PDGFA/SPP1/TIMP1/VCAN/VTN",10
"GO:0031091","GO:0031091","platelet alpha granule","6/35","81/11898",0.0740740740740741,25.1809523809524,11.8609037385209,1.14402975845494e-07,0.00000431871233816738,0.00000319124090516377,"APP/PDGFA/PF4/SERPINA5/TIMP1/VEGFA",6
"GO:0005796","GO:0005796","Golgi lumen","6/35","92/11898",0.0652173913043478,22.1701863354037,11.071913714808,2.4562961676578e-07,0.00000741801442632657,0.00000548141881624689,"APP/LRPAP1/LUM/PDGFA/VCAN/VTN",6
"GO:0031093","GO:0031093","platelet alpha granule lumen","5/35","62/11898",0.0806451612903226,27.4147465437788,11.3264888591815,9.38494675984858e-07,0.0000236187826789523,0.000017452708009543,"APP/PDGFA/PF4/TIMP1/VEGFA",5
"GO:0005583","GO:0005583","fibrillar collagen trimer","3/35","10/11898",0.3,101.982857142857,17.3519682254377,0.00000275924983159665,0.0000520808405713868,0.0000384842739670059,"COL3A1/COL5A2/LUM",3
"GO:0098643","GO:0098643","fibrillar collagen","3/35","10/11898",0.3,101.982857142857,17.3519682254377,0.00000275924983159665,0.0000520808405713868,0.0000384842739670059,"COL3A1/COL5A2/LUM",3
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","3/35","17/11898",0.176470588235294,59.9899159663866,13.219993085966,0.0000154163968824617,0.000232787592925171,0.000172014533635888,"APOH/APP/LPL",3
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","3/35","17/11898",0.176470588235294,59.9899159663866,13.219993085966,0.0000154163968824617,0.000232787592925171,0.000172014533635888,"APOH/APP/LPL",3
"GO:0034774","GO:0034774","secretory granule lumen","7/35","294/11898",0.0238095238095238,8.09387755102041,6.68973602009352,0.0000194410743012397,0.000257255441953939,0.00019009464515244,"APOH/APP/PDGFA/PF4/PGLYRP1/TIMP1/VEGFA",7
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","7/35","299/11898",0.0234113712374582,7.95852842809365,6.61908889188807,0.0000216762168985642,0.000257255441953939,0.00019009464515244,"APOH/APP/PDGFA/PF4/PGLYRP1/TIMP1/VEGFA",7
"GO:0031983","GO:0031983","vesicle lumen","7/35","300/11898",0.0233333333333333,7.932,6.60515657431473,0.0000221478195059683,0.000257255441953939,0.00019009464515244,"APOH/APP/PDGFA/PF4/PGLYRP1/TIMP1/VEGFA",7
"GO:0098644","GO:0098644","complex of collagen trimers","3/35","25/11898",0.12,40.7931428571429,10.8181624630189,0.0000513089444168241,0.00055340361478146,0.000408928429186719,"COL3A1/COL5A2/LUM",3
"GO:0034358","GO:0034358","plasma lipoprotein particle","3/35","30/11898",0.1,33.9942857142857,9.82802103114224,0.0000896629053799427,0.000846193669523209,0.000625280787518022,"APOH/APP/LPL",3
"GO:1990777","GO:1990777","lipoprotein particle","3/35","30/11898",0.1,33.9942857142857,9.82802103114224,0.0000896629053799427,0.000846193669523209,0.000625280787518022,"APOH/APP/LPL",3
"GO:0032994","GO:0032994","protein-lipid complex","3/35","33/11898",0.0909090909090909,30.9038961038961,9.34343054494384,0.000119766343640476,0.00106380693468893,0.00078608250315111,"APOH/APP/LPL",3
"GO:1904090","GO:1904090","peptidase inhibitor complex","2/35","10/11898",0.2,67.9885714285714,11.5107018734046,0.000372752501786721,0.00312697932054416,0.00231062954323933,"SERPINA5/VTN",2
"GO:0042627","GO:0042627","chylomicron","2/35","11/11898",0.181818181818182,61.8077922077922,10.9591011263111,0.000454744987242232,0.0036140259512409,0.00267052457881865,"APOH/LPL",2
"GO:0005581","GO:0005581","collagen trimer","3/35","57/11898",0.0526315789473684,17.8917293233083,6.94341044840152,0.000611989843756461,0.00462052332036128,0.00341425912832552,"COL3A1/COL5A2/LUM",3
